"Id";"timestamp";"deviceId";"address";"valueInt";"time_id"
2755367;2026-03-04 02:15:04.670;131108;81;39;3245896
2755711;2026-03-04 02:10:04.683;131109;81;37;3245891
2756095;2026-03-04 02:10:04.683;131109;81;37;3245891
2755336;2026-03-04 02:10:04.426;131108;81;39;3245891
2755679;2026-03-04 02:05:04.756;131109;81;40;3245886
2756063;2026-03-04 02:05:04.756;131109;81;40;3245886
2755305;2026-03-04 02:05:04.506;131108;81;39;3245886
2755647;2026-03-04 02:00:04.956;131109;81;38;3245881
2756031;2026-03-04 02:00:04.956;131109;81;38;3245881
2755274;2026-03-04 02:00:04.713;131108;81;39;3245881
2755218;2026-03-04 01:55:04.783;131109;81;39;3245876
2754834;2026-03-04 01:55:04.783;131109;81;39;3245876
2754450;2026-03-04 01:55:04.510;131108;81;39;3245876
2755186;2026-03-04 01:50:04.730;131109;81;35;3245871
2754802;2026-03-04 01:50:04.730;131109;81;35;3245871
2754419;2026-03-04 01:50:04.440;131108;81;39;3245871
2754770;2026-03-04 01:45:04.670;131109;81;34;3245866
2755154;2026-03-04 01:45:04.670;131109;81;34;3245866
2754388;2026-03-04 01:45:04.406;131108;81;38;3245866
2754738;2026-03-04 01:40:04.793;131109;81;36;3245861
2755122;2026-03-04 01:40:04.793;131109;81;36;3245861
2754357;2026-03-04 01:40:04.510;131108;81;39;3245861
2754688;2026-03-04 01:35:05.223;131109;81;37;3245856
2755072;2026-03-04 01:35:05.223;131109;81;37;3245856
2754316;2026-03-04 01:35:04.630;131108;81;38;3245856
2754674;2026-03-04 01:30:04.876;131109;81;36;3245851
2755058;2026-03-04 01:30:04.876;131109;81;36;3245851
2754295;2026-03-04 01:30:04.563;131108;81;38;3245851
2754642;2026-03-04 01:25:04.866;131109;81;38;3245846
2755026;2026-03-04 01:25:04.866;131109;81;38;3245846
2754264;2026-03-04 01:25:04.603;131108;81;38;3245846
2754610;2026-03-04 01:20:04.756;131109;81;39;3245841
2754994;2026-03-04 01:20:04.756;131109;81;39;3245841
2754233;2026-03-04 01:20:04.506;131108;81;39;3245841
2754578;2026-03-04 01:15:04.763;131109;81;38;3245836
2754962;2026-03-04 01:15:04.763;131109;81;38;3245836
2754202;2026-03-04 01:15:04.523;131108;81;39;3245836
2754546;2026-03-04 01:10:04.680;131109;81;38;3245831
2754930;2026-03-04 01:10:04.680;131109;81;38;3245831
2754171;2026-03-04 01:10:04.426;131108;81;38;3245831
2754514;2026-03-04 01:05:04.940;131109;81;37;3245826
2754898;2026-03-04 01:05:04.940;131109;81;37;3245826
2754140;2026-03-04 01:05:04.690;131108;81;38;3245826
2754482;2026-03-04 01:00:05.293;131109;81;39;3245821
2754866;2026-03-04 01:00:05.293;131109;81;39;3245821
2754109;2026-03-04 01:00:05.036;131108;81;38;3245821
2754078;2026-03-04 00:55:04.750;131109;81;36;3245816
2753669;2026-03-04 00:55:04.750;131109;81;36;3245816
2753285;2026-03-04 00:55:04.463;131108;81;39;3245816
2753637;2026-03-04 00:50:04.773;131109;81;40;3245811
2754021;2026-03-04 00:50:04.773;131109;81;40;3245811
2753254;2026-03-04 00:50:04.533;131108;81;39;3245811
2753605;2026-03-04 00:45:04.713;131109;81;38;3245806
2753989;2026-03-04 00:45:04.713;131109;81;38;3245806
2753223;2026-03-04 00:45:04.400;131108;81;39;3245806
2753573;2026-03-04 00:40:04.923;131109;81;39;3245801
2753957;2026-03-04 00:40:04.923;131109;81;39;3245801
2753192;2026-03-04 00:40:04.483;131108;81;38;3245801
2753523;2026-03-04 00:35:04.640;131109;81;38;3245796
2753907;2026-03-04 00:35:04.640;131109;81;38;3245796
2753151;2026-03-04 00:35:04.400;131108;81;38;3245796
2753509;2026-03-04 00:30:04.833;131109;81;39;3245791
2753893;2026-03-04 00:30:04.833;131109;81;39;3245791
2753130;2026-03-04 00:30:04.586;131108;81;38;3245791
2753477;2026-03-04 00:25:04.936;131109;81;38;3245786
2753861;2026-03-04 00:25:04.936;131109;81;38;3245786
2753099;2026-03-04 00:25:04.700;131108;81;38;3245786
2753445;2026-03-04 00:20:04.766;131109;81;38;3245781
2753829;2026-03-04 00:20:04.766;131109;81;38;3245781
2753068;2026-03-04 00:20:04.513;131108;81;38;3245781
2753413;2026-03-04 00:15:04.803;131109;81;37;3245776
2753797;2026-03-04 00:15:04.803;131109;81;37;3245776
2753037;2026-03-04 00:15:04.546;131108;81;38;3245776
2753765;2026-03-04 00:10:04.706;131109;81;38;3245771
2753381;2026-03-04 00:10:04.706;131109;81;38;3245771
